axis,axis_bin,data_type,gt_type,pollutant,value,gt_value,error_pct,bin_start_m,bin_center_m,bin_end_m
x,3.0,sumo,ground_truth,PM2.5,0.2772669608321758,0.2542100491744371,9.070023680266535,89.0,99.0,109.0
x,4.0,sumo,ground_truth,PM2.5,0.19255043557534562,0.24816988685997324,-22.411845364627254,109.0,119.0,129.0
x,5.0,sumo,ground_truth,PM2.5,0.18042301111456088,0.2141530010080387,-15.750416634232307,129.0,139.0,149.0
x,6.0,sumo,ground_truth,PM2.5,0.16990860791096143,0.1597440064497043,6.363056547262374,149.0,159.0,169.0
x,7.0,sumo,ground_truth,PM2.5,0.13538309241630941,0.1224357781172015,10.574780099583407,169.0,179.0,189.0
x,8.0,sumo,ground_truth,PM2.5,0.2364229345135692,0.11587669149353588,104.02975910540034,189.0,199.0,209.0
x,9.0,sumo,ground_truth,PM2.5,0.13315598678737733,0.19136542162231296,-30.417948206871078,209.0,219.0,229.0
x,10.0,sumo,ground_truth,PM2.5,0.3303232682013265,0.16273517026685372,102.98210132429348,229.0,239.0,249.0
x,11.0,sumo,ground_truth,PM2.5,0.13799597412216902,0.10504794737974844,31.364750634596813,249.0,259.0,269.0
x,12.0,sumo,ground_truth,PM2.5,0.11016747243551675,0.11840419874373045,-6.956447824997289,269.0,279.0,289.0
x,13.0,sumo,ground_truth,PM2.5,0.16293013529293923,0.13456194828979728,21.081878914273176,289.0,299.0,309.0
x,14.0,sumo,ground_truth,PM2.5,0.16298195444434752,0.1694767090984222,-3.8322402462410925,309.0,319.0,329.0
x,15.0,sumo,ground_truth,PM2.5,0.23116934028924596,0.2133309655368978,8.361830973508082,329.0,339.0,349.0
x,16.0,sumo,ground_truth,PM2.5,0.36175267692461655,0.23331783228845823,55.047161794890265,349.0,359.0,369.0
x,17.0,sumo,ground_truth,PM2.5,0.24468745299282985,0.1836769993383014,33.21616417641803,369.0,379.0,389.0
x,0.0,trim,ground_truth,NOx,3.541015283185869,6.031937735562532,-41.29555976168183,29.0,39.0,49.0
x,1.0,trim,ground_truth,NOx,5.095747069610228,7.112744255843007,-28.357510317847403,49.0,59.0,69.0
x,2.0,trim,ground_truth,NOx,9.736110110046194,6.650466379254465,46.39740365302979,69.0,79.0,89.0
x,3.0,trim,ground_truth,NOx,6.560832414689533,6.363051664375687,3.1082688110351984,89.0,99.0,109.0
x,4.0,trim,ground_truth,NOx,4.850853437349581,5.570809447913483,-12.923723514426745,109.0,119.0,129.0
